Booking_ID,booking_status
INN04969,0.0032409178
INN34541,0.18733202
INN36109,0.11092056
INN01554,0.78463393
INN24975,0.20813979
INN27080,0.20248827
INN29146,0.39863497
INN05926,0.3195944
INN17356,0.27064085
INN25284,0.23846368
INN28043,0.05409355
INN00264,0.8231378
INN36020,0.043048143
INN05558,0.45246223
INN07365,0.39055797
INN35759,0.4558811
INN24606,0.19151494
INN14613,0.067336775
INN00927,0.81932503
INN03156,0.0029673665
INN18684,0.17428355
INN24976,0.0715892
INN02773,0.050675064
INN09126,0.38765943
INN23806,0.3139501
INN05911,0.42353138
INN10744,0.17140222
INN18155,0.00610948
INN01732,0.14337127
INN28020,0.002463314
INN11177,0.0038503436
INN24767,0.14230745
INN24168,0.28023782
INN17657,0.121358946
INN19937,0.30359128
INN10005,0.117553085
INN19470,0.046736814
INN03227,0.57015496
INN20723,0.5493405
INN32020,0.0041641775
INN04254,0.17616455
INN06188,0.21885319
INN19814,0.14829805
INN26451,0.37010407
INN07030,0.0008287631
INN34873,0.5228929
INN27817,0.294885
INN32177,0.6401443
INN05866,0.4950356
INN12355,0.17773744
INN27652,0.028140021
INN27153,0.13063493
INN35279,0.64784
INN16005,0.21736412
INN12990,0.16153432
INN24073,0.01845887
INN33637,0.25064424
INN13485,0.35175025
INN16436,0.40306485
INN34987,0.4079666
INN14263,0.08064228
INN35353,0.12714648
INN00269,0.118039094
INN32425,0.22352211
INN27275,0.075469114
INN35034,0.29432538
INN34452,0.15512936
INN35113,0.04070806
INN34588,0.11376441
INN07616,0.41188824
INN26088,0.38379398
INN09286,0.71483046
INN32284,0.17425358
INN13788,0.1963794
INN03704,0.27210435
INN21855,0.10076169
INN16700,0.9834434
INN30579,0.07231434
INN07578,0.52892864
INN05758,0.15713458
INN31672,0.15931343
INN00084,0.5119265
INN15712,0.39781433
INN21926,0.15023038
INN22391,0.30504197
INN34753,0.095722
INN10927,0.042547178
INN07802,0.06414254
INN06082,0.80120105
INN05187,0.08331124
INN10952,0.5356666
INN16320,0.28736213
INN18055,0.38184717
INN02266,0.21834823
INN33046,0.16551146
INN33753,0.3489074
INN35475,0.5959119
INN14908,0.8745145
INN35795,0.14346235
INN35668,0.4449972
INN19700,0.74755776
INN35228,0.29665294
INN12325,0.019990277
INN13499,0.0072451625
INN22534,0.71621275
INN31212,0.12176959
INN33520,0.23752329
INN15795,0.064333044
INN12712,0.5810948
INN07104,0.5386861
INN27400,0.314133
INN31525,0.27040368
INN18168,0.029473897
INN23731,0.68414634
INN13833,0.86325175
INN28228,0.228524
INN24517,0.1782602
INN15483,0.5156535
INN20700,0.7122493
INN02650,0.6265851
INN13261,0.06206414
INN30788,0.25825846
INN15499,0.13613716
INN02562,0.41507843
INN29761,0.23712741
INN35910,0.22954766
INN15337,0.58296144
INN00071,0.61725545
INN10545,0.020825196
INN16346,0.023184357
INN08566,0.53846073
INN12010,0.15419039
INN24714,0.020311596
INN04916,0.7421839
INN30066,0.9894936
INN29665,0.12278292
INN31774,0.32031906
INN13827,0.03620468
INN00466,0.6947882
INN16884,0.64088345
INN06217,0.033781014
INN18504,0.269268
INN05180,0.43047184
INN08039,0.41071886
INN00313,0.005894339
INN04700,0.09741102
INN16731,0.13839391
INN06066,0.20806974
INN05573,0.8576123
INN11238,0.6004542
INN14218,0.14543529
INN26488,0.3962003
INN26079,0.03776501
INN35612,0.73174477
INN31168,0.64784
INN13144,0.20099175
INN02792,0.18700528
INN34087,0.372035
INN29578,0.6047831
INN23190,0.08677376
INN01158,0.0032326998
INN02555,0.49259043
INN21625,0.32807785
INN28268,0.09321427
INN21241,0.08238561
INN19859,0.032131642
INN01683,0.58677465
INN09949,0.42041326
INN09808,0.88060594
INN29709,0.7427927
INN03894,0.36518782
INN05839,0.9487851
INN03029,0.11008342
INN18224,0.34809068
INN03980,0.54688615
INN13731,0.4342435
INN22867,0.6004542
INN20326,0.1001995
INN02970,0.18863308
INN11661,0.0014138899
INN26818,0.51625776
INN26174,0.067699626
INN14495,0.005823752
INN35656,0.29333186
INN29208,0.64271766
INN06268,0.43409765
INN10870,0.1391378
INN15640,0.038377155
INN34774,0.0010529191
INN17039,0.08468269
INN24361,0.31880203
INN11077,0.18012959
INN30989,0.62676245
INN16314,0.11095243
INN16829,0.49253199
INN28490,0.034521595
INN08181,0.38225272
INN12627,0.3152531
INN10390,0.35649747
INN07340,0.63142437
INN23221,0.05289204
INN24006,0.09508507
INN06869,0.649152
INN29356,0.12791704
INN23147,0.112144835
INN14364,0.09554158
INN31585,0.6345041
INN20551,0.2408377
INN13609,0.11190103
INN00274,0.024849193
INN33001,0.29515222
INN09998,0.3067345
INN10313,0.35945967
INN29439,0.899374
INN00472,0.0983904
INN21407,0.24410796
INN08669,0.34765798
INN29849,0.065974765
INN29382,0.011692117
INN34473,0.35190347
INN26219,0.61313903
INN05708,0.42045918
INN13039,0.048677534
INN09593,0.011315802
INN32723,0.15410577
INN25064,0.036369387
INN25451,0.90607166
INN16358,0.093476765
INN31235,0.11105147
INN30234,0.08642698
INN08364,0.46800354
INN25291,0.013866106
INN14285,0.16784093
INN33508,0.5141571
INN31027,0.2228387
INN22513,0.0068930937
INN01427,0.20549926
INN25173,0.14812289
INN07410,0.22545813
INN08944,0.32827273
INN07450,0.0010303367
INN23336,0.2938158
INN00429,0.17914678
INN09737,0.06254606
INN12081,0.0019826046
INN27086,0.25569528
INN01913,0.72995275
INN05219,0.31526002
INN00726,0.052152414
INN20387,0.15497372
INN08691,0.4976227
INN28625,0.10091051
INN33466,0.65791774
INN04309,0.7893124
INN28105,0.49409148
INN25383,0.025424318
INN26142,0.28936753
INN32384,0.28481746
INN18556,0.35945967
INN02901,0.5205039
INN02030,0.2715201
INN29069,0.95537823
INN34358,0.34936747
INN22532,0.28128457
INN01428,0.5047574
INN23630,0.1809102
INN28975,0.5737191
INN15484,0.65808254
INN17992,0.40769973
INN27024,0.14899215
INN17475,0.036025707
INN06283,0.7202684
INN28067,0.28965807
