Booking_ID,booking_status
INN04969,0.0032014318
INN34541,0.18730856
INN36109,0.11090538
INN01554,0.784608
INN24975,0.2081144
INN27080,0.20273872
INN29146,0.39859807
INN05926,0.31956095
INN17356,0.2700809
INN25284,0.23843575
INN28043,0.054085672
INN00264,0.82320607
INN36020,0.04311205
INN05558,0.45465794
INN07365,0.38277447
INN35759,0.4558429
INN24606,0.18843496
INN14613,0.0674342
INN00927,0.8170134
INN03156,0.0029669108
INN18684,0.17426139
INN24976,0.07140076
INN02773,0.05066766
INN09126,0.3876229
INN23806,0.31391692
INN05911,0.42671323
INN10744,0.17138033
INN18155,0.0061085448
INN01732,0.14356177
INN28020,0.0024629356
INN11177,0.0038561712
INN24767,0.14249676
INN24168,0.28020677
INN17657,0.11991516
INN19937,0.3035587
INN10005,0.1175371
INN19470,0.046729952
INN03227,0.57011724
INN20723,0.5493024
INN32020,0.004163539
INN04254,0.17614222
INN06188,0.21882689
INN19814,0.1482786
INN26451,0.3700682
INN07030,0.00086432893
INN34873,0.5228545
INN27817,0.294853
INN32177,0.6401088
INN05866,0.49499717
INN12355,0.17771493
INN27652,0.028498271
INN27153,0.13061744
INN35279,0.64780486
INN16005,0.22187313
INN12990,0.16151348
INN24073,0.018456079
INN33637,0.2506153
INN13485,0.35171515
INN16436,0.40302777
INN34987,0.40792948
INN14263,0.08063086
INN35353,0.12712939
INN00269,0.118023075
INN32425,0.2234954
INN27275,0.07545836
INN35034,0.2942934
INN34452,0.15532845
INN35113,0.04070205
INN34588,0.11374887
INN07616,0.41185093
INN26088,0.38375753
INN09286,0.714799
INN32284,0.17447676
INN13788,0.19546255
INN03704,0.27241153
INN21855,0.10050478
INN16700,0.9836194
INN30579,0.072304
INN07578,0.52889025
INN05758,0.15734
INN31672,0.15336332
INN00084,0.5161407
INN15712,0.39777744
INN21926,0.15021071
INN22391,0.30537072
INN34753,0.09570867
INN10927,0.042540904
INN07802,0.064235665
INN06082,0.80027246
INN05187,0.08342971
INN10952,0.5360521
INN16320,0.2861718
INN18055,0.3818108
INN02266,0.21832193
INN33046,0.1654902
INN33753,0.34826288
INN35475,0.59587485
INN14908,0.86911684
INN35795,0.14365295
INN35668,0.44495913
INN19700,0.74752873
INN35228,0.29662085
INN12325,0.020020666
INN13499,0.0072440538
INN22534,0.7161815
INN31212,0.12193205
INN33520,0.23749542
INN15795,0.064426415
INN12712,0.5810573
INN07104,0.53864783
INN27400,0.3144671
INN31525,0.27070332
INN18168,0.02946949
INN23731,0.6841131
INN13833,0.8632335
INN28228,0.22849686
INN24517,0.17848739
INN15483,0.51561505
INN20700,0.7149102
INN02650,0.6265491
INN13261,0.06205517
INN30788,0.25822896
INN15499,0.13631958
INN02562,0.415041
INN29761,0.23709953
INN35910,0.22952043
INN15337,0.582924
INN00071,0.6172191
INN10545,0.020706851
INN16346,0.023180868
INN08566,0.54895604
INN12010,0.15343294
INN24714,0.020308532
INN04916,0.7391994
INN30066,0.98949194
INN29665,0.12215747
INN31774,0.3202855
INN13827,0.035803825
INN00466,0.69475555
INN16884,0.640848
INN06217,0.033830605
INN18504,0.2692377
INN05180,0.43043405
INN08039,0.41109407
INN00313,0.0058158115
INN04700,0.09739748
INN16731,0.1377014
INN06066,0.20804438
INN05573,0.85759354
INN11238,0.60041726
INN14218,0.14541614
INN26488,0.3983216
INN26079,0.038240973
INN35612,0.73204273
INN31168,0.64780486
INN13144,0.20096703
INN02792,0.18698186
INN34087,0.37199903
INN29578,0.60514593
INN23190,0.08676155
INN01158,0.0032322034
INN02555,0.49255195
INN21625,0.3267962
INN28268,0.09320126
INN21241,0.08196269
INN19859,0.031711068
INN01683,0.57963717
INN09949,0.4203757
INN09808,0.88076544
INN29709,0.7427633
INN03894,0.36515215
INN05839,0.9487776
INN03029,0.11023538
INN18224,0.34805572
INN03980,0.54684794
INN13731,0.43420562
INN22867,0.60041726
INN20326,0.100339346
INN02970,0.1886095
INN11661,0.0014160804
INN26818,0.51621926
INN26174,0.06838125
INN14495,0.005990398
INN35656,0.29329994
INN29208,0.6426823
INN06268,0.43447065
INN10870,0.13911936
INN15640,0.038433224
INN34774,0.001052757
INN17039,0.08423267
INN24361,0.3187686
INN11077,0.18010685
INN30989,0.62672645
INN16314,0.11110228
INN16829,0.49249348
INN28490,0.034516457
INN08181,0.38221636
INN12627,0.31464067
INN10390,0.35646215
INN07340,0.63138855
INN23221,0.05506595
INN24006,0.09507182
INN06869,0.64911693
INN29356,0.12789984
INN23147,0.1121295
INN14364,0.09567562
INN31585,0.6344683
INN20551,0.23977524
INN13609,0.11055561
INN00274,0.02484546
INN33001,0.2951202
INN09998,0.30706427
INN10313,0.3594242
INN29439,0.89936
INN00472,0.098528005
INN21407,0.24407955
INN08669,0.34762308
INN29849,0.06596528
INN29382,0.011690337
INN34473,0.3522571
INN26219,0.6131025
INN05708,0.42261943
INN13039,0.0486704
INN09593,0.011314079
INN32723,0.1540857
INN25064,0.03636399
INN25451,0.90620077
INN16358,0.093608215
INN31235,0.11103628
INN30234,0.08596856
INN08364,0.47020987
INN25291,0.013863999
INN14285,0.16781941
INN33508,0.5141187
INN31027,0.22281203
INN22513,0.00689204
INN01427,0.20574725
INN25173,0.14810345
INN07410,0.22543123
INN08944,0.32764712
INN07450,0.0010301783
INN23336,0.29378387
INN00429,0.17912413
INN09737,0.062637016
INN12081,0.0019856745
INN27086,0.255666
INN01913,0.72992235
INN05219,0.3152268
INN00726,0.052144803
INN20387,0.15517683
INN08691,0.49758422
INN28625,0.10089653
INN33466,0.6578831
INN04309,0.7892868
INN28105,0.49405295
INN25383,0.024770536
INN26142,0.28933585
INN32384,0.2851268
INN18556,0.3594242
INN02901,0.52046543
INN02030,0.27182683
INN29069,0.95537174
INN34358,0.3493325
INN22532,0.27854136
INN01428,0.5047189
INN23630,0.1822267
INN28975,0.5740981
INN15484,0.6580479
INN17992,0.40430105
INN27024,0.14897263
INN17475,0.03607958
INN06283,0.71909434
INN28067,0.28997716
INN09999,0.72979605
INN10649,0.97198546
INN28239,0.38485113
INN21378,0.20211262
INN25490,0.07880215
INN21472,0.3387055
INN30471,0.37499735
INN33507,0.14575276
INN26297,0.0972029
INN03057,0.14642167
INN26999,0.6079872
INN31615,0.237842
INN12250,0.4046222
INN18579,0.23377766
INN25639,0.5884982
INN33957,0.20517151
INN03841,0.009989761
INN21145,0.3113896
INN11569,0.36218572
INN21762,0.47037306
INN18427,0.09735465
INN04141,0.7795042
INN01762,0.71027887
INN00097,0.7526417
INN24870,0.13556463
INN34008,0.057888694
INN33511,0.002136586
INN30618,0.08595174
INN34749,0.014830046
INN33193,0.0024131427
INN25873,0.4296259
INN26663,0.5390992
INN21579,0.063921064
INN31014,0.11734974
INN02944,0.2010355
INN06915,0.73807687
INN11989,0.34678465
INN19058,0.033754405
INN05987,0.8121572
INN35018,0.3846616
INN35079,0.17431478
INN13596,0.6569687
INN33039,0.0021027424
INN19855,0.009757984
INN22127,0.557997
INN26548,0.0030840572
INN16027,0.17747782
INN20533,0.72905284
INN07050,0.330697
INN22715,0.7501031
INN26494,0.562758
INN18435,0.08045908
INN13643,0.8724049
INN23491,0.6410162
INN15926,0.24003157
INN35698,0.49168578
INN21014,0.48797408
INN02983,0.36578846
INN13721,0.31950697
INN01454,0.2388318
INN24636,0.0052328235
INN06966,0.0015761633
INN35306,0.24775206
INN20882,0.059042703
INN07987,0.5741891
INN00145,0.16001153
INN18380,0.15135644
